TIME,COUNTRY,VALUE
2016M11,France,100.55
2016M11,Croatia,99.72
2016M11,Italy,100.7
2016M11,Cyprus,98.48
2016M11,Latvia,100.79
2016M11,Lithuania,101.46
2016M11,Luxembourg,100.82
2016M11,Hungary,101.06
2016M11,Malta,99.50
2016M11,Netherlands,100.02
2016M11,Austria,101.79
2016M11,Poland,100.0
2016M11,Portugal,100.71
2016M11,Romania,99.13
2016M11,Slovenia,100.69
2016M11,Slovakia,99.67
2016M11,Finland,100.80
2016M11,Sweden,101.73
2016M11,Iceland,99.65
2016M11,Norway,105.5
2016M11,Switzerland,99.43
2016M11,United Kingdom,101.4
2016M11,North Macedonia,99.97
2016M11,Serbia,102.1
2016M11,United States,100.77
2016M12,Belgium,102.96
2016M12,Bulgaria,99.10
2016M12,Czechia,101.5
2016M12,Denmark,100.1
2016M12,Germany (until 1990 former territory of the FRG),101.2
2016M12,Estonia,101.34
2016M12,Ireland,99.4
2016M12,Greece,100.27
2016M12,Spain,101.50
2016M12,France,100.90
2016M12,Croatia,99.69
2016M12,Italy,101.1
2016M12,Cyprus,98.73
2016M12,Latvia,101.38
2016M12,Lithuania,101.94
2016M12,Luxembourg,101.24
2016M12,Hungary,101.46
2016M12,Malta,99.55
2016M12,Netherlands,100.27
2016M12,Austria,102.55
2016M12,Poland,100.5
2016M12,Portugal,100.74
2016M12,Romania,99.41
2016M12,Slovenia,100.29
2016M12,Slovakia,99.75
2016M12,Finland,101.08
2016M12,Sweden,102.28
2016M12,Iceland,99.75
2016M12,Norway,104.9
2016M12,Switzerland,99.35
2016M12,United Kingdom,101.9
2016M12,North Macedonia,99.76
2016M12,Serbia,101.9
2016M12,United States,100.73
2017M01,Belgium,102.03
2017M01,Bulgaria,99.77
2017M01,Czechia,102.3
2017M01,Denmark,100.0
2017M01,Germany (until 1990 former territory of the FRG),100.2
2017M01,Estonia,101.61
2017M01,Ireland,98.9
2017M01,Greece,99.79
2017M01,Spain,100.50
2017M01,France,100.57
2017M01,Croatia,99.51
2017M01,Italy,99.4
2017M01,Cyprus,97.92
2017M01,Latvia,101.45
2017M01,Lithuania,102.15
2017M01,Luxembourg,100.59
2017M01,Hungary,101.87
2017M01,Malta,98.47
2017M01,Netherlands,99.64
2017M01,Austria,101.91
2017M01,Poland,100.8
2017M01,Portugal,100.05
2017M01,Romania,99.28
2017M01,Slovenia,99.84
2017M01,Slovakia,100.02
2017M01,Finland,100.41
2017M01,Sweden,101.50
2017M01,Iceland,98.52
