TIME,COUNTRY,AGE,VALUE
2008,Greece,From 18 to 24 years,10024
2008,Greece,From 18 to 64 years,11550
2008,Greece,18 years or over,10980
2008,Greece,From 25 to 49 years,11810
2008,Greece,From 25 to 54 years,11920
2008,Greece,From 50 to 64 years,11695
2008,Greece,From 55 to 64 years,11352
2008,Greece,Less than 60 years,11391
2008,Greece,60 years or over,9968
2008,Greece,Less than 65 years,11353
2008,Greece,From 65 to 74 years,0
2008,Greece,65 years or over,9760
2008,Greece,Less than 75 years,11167
2008,Greece,75 years or over,9100
2008,Spain,Total,13966
2008,Spain,Less than 6 years,12770
2008,Spain,From 6 to 11 years,11868
2008,Spain,From 11 to 15 years,0
2008,Spain,From 12 to 17 years,11737
2008,Spain,Less than 16 years,12213
2008,Spain,From 16 to 24 years,13085
2008,Spain,From 16 to 64 years,14925
2008,Spain,16 years or over,14324
2008,Spain,Less than 18 years,12076
2008,Spain,From 18 to 24 years,13424
2008,Spain,From 18 to 64 years,15016
2008,Spain,18 years or over,14385
2008,Spain,From 25 to 49 years,14931
2008,Spain,From 25 to 54 years,15139
2008,Spain,From 50 to 64 years,16185
2008,Spain,From 55 to 64 years,16079
2008,Spain,Less than 60 years,14436
2008,Spain,60 years or over,12663
2008,Spain,Less than 65 years,14485
2008,Spain,From 65 to 74 years,0
2008,Spain,65 years or over,11966
2008,Spain,Less than 75 years,14322
2008,Spain,75 years or over,11224
2008,France,Total,18899
2008,France,Less than 6 years,17676
2008,France,From 6 to 11 years,17601
2008,France,From 11 to 15 years,0
2008,France,From 12 to 17 years,17141
2008,France,Less than 16 years,17569
2008,France,From 16 to 24 years,17008
2008,France,From 16 to 64 years,19546
2008,France,16 years or over,19348
2008,France,Less than 18 years,17551
2008,France,From 18 to 24 years,16919
2008,France,From 18 to 64 years,19607
2008,France,18 years or over,19397
2008,France,From 25 to 49 years,19404
2008,France,From 25 to 54 years,19754
2008,France,From 50 to 64 years,21707
2008,France,From 55 to 64 years,21624
2008,France,Less than 60 years,18881
2008,France,60 years or over,19029
2008,France,Less than 65 years,19068
2008,France,From 65 to 74 years,0
2008,France,65 years or over,18151
2008,France,Less than 75 years,19077
2008,France,75 years or over,17311
2008,Croatia,Total,0
2008,Croatia,Less than 6 years,0
2008,Croatia,From 6 to 11 years,0
2008,Croatia,From 11 to 15 years,0
2008,Croatia,From 12 to 17 years,0
2008,Croatia,Less than 16 years,0
2008,Croatia,From 16 to 24 years,0
2008,Croatia,From 16 to 64 years,0
2008,Croatia,16 years or over,0
2008,Croatia,Less than 18 years,0
2008,Croatia,From 18 to 24 years,0
2008,Croatia,From 18 to 64 years,0
2008,Croatia,18 years or over,0
2008,Croatia,From 25 to 49 years,0
2008,Croatia,From 25 to 54 years,0
2008,Croatia,From 50 to 64 years,0
2008,Croatia,From 55 to 64 years,0
2008,Croatia,Less than 60 years,0
2008,Croatia,60 years or over,0
2008,Croatia,Less than 65 years,0
2008,Croatia,From 65 to 74 years,0
2008,Croatia,65 years or over,0
2008,Croatia,Less than 75 years,0
2008,Croatia,75 years or over,0
2008,Italy,Total,15640
2008,Italy,Less than 6 years,14623
2008,Italy,From 6 to 11 years,14423
2008,Italy,From 11 to 15 years,0
2008,Italy,From 12 to 17 years,13408
2008,Italy,Less than 16 years,14301
2008,Italy,From 16 to 24 years,14269
2008,Italy,From 16 to 64 years,16529
2008,Italy,16 years or over,15885
2008,Italy,Less than 18 years,14130
2008,Italy,From 18 to 24 years,14495
2008,Italy,From 18 to 64 years,16631
2008,Italy,18 years or over,15956
2008,Italy,From 25 to 49 years,16662
2008,Italy,From 25 to 54 years,16706
2008,Italy,From 50 to 64 years,17554
2008,Italy,From 55 to 64 years,17906
2008,Italy,Less than 60 years,15976
2008,Italy,60 years or over,14725
2008,Italy,Less than 65 years,16065
2008,Italy,From 65 to 74 years,0
2008,Italy,65 years or over,14135
2008,Italy,Less than 75 years,15903
2008,Italy,75 years or over,13590
2008,Cyprus,Total,16024
2008,Cyprus,Less than 6 years,16433
2008,Cyprus,From 6 to 11 years,15785
2008,Cyprus,From 11 to 15 years,0
2008,Cyprus,From 12 to 17 years,14121
2008,Cyprus,Less than 16 years,15388
2008,Cyprus,From 16 to 24 years,15702
2008,Cyprus,From 16 to 64 years,17164
2008,Cyprus,16 years or over,16194
2008,Cyprus,Less than 18 years,15289
2008,Cyprus,From 18 to 24 years,15924
2008,Cyprus,From 18 to 64 years,17398
2008,Cyprus,18 years or over,16303
2008,Cyprus,From 25 to 49 years,17834
2008,Cyprus,From 25 to 54 years,17919
2008,Cyprus,From 50 to 64 years,17586
2008,Cyprus,From 55 to 64 years,16967
2008,Cyprus,Less than 60 years,16887
2008,Cyprus,60 years or over,11274
2008,Cyprus,Less than 65 years,16848
2008,Cyprus,From 65 to 74 years,0
2008,Cyprus,65 years or over,9886
2008,Cyprus,Less than 75 years,16471
2008,Cyprus,75 years or over,8832
2008,Latvia,Total,4740
2008,Latvia,Less than 6 years,5241
2008,Latvia,From 6 to 11 years,4629
2008,Latvia,From 11 to 15 years,0
2008,Latvia,From 12 to 17 years,4296
2008,Latvia,Less than 16 years,4765
2008,Latvia,From 16 to 24 years,5100
2008,Latvia,From 16 to 64 years,5254
2008,Latvia,16 years or over,4735
2008,Latvia,Less than 18 years,4652
2008,Latvia,From 18 to 24 years,5454
2008,Latvia,From 18 to 64 years,5320
2008,Latvia,18 years or over,4764
