"TIME","GEO","UNIT","ISCED11","ISCEDF13","SEX","Value"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Mathematics and statistics","Total","656"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Information and Communication Technologies","Total","2,020"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Engineering, manufacturing and construction","Total","5,768"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Engineering and engineering trades","Total","2,813"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Manufacturing and processing","Total","571"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Architecture and construction","Total","2,384"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Agriculture, forestry, fisheries and veterinary","Total","982"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Health and welfare","Total","3,136"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Health","Total",":"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Dental studies","Total","67"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Medicine, therapy and rehabilitation","Total",":"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Welfare","Total",":"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Care of the elderly and of disabled adults","Total",":"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Child care and youth services","Total","286"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Social work and counselling","Total","88"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Services","Total","310"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Domestic services","Total","0"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Hair and beauty services","Total","0"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Hotel, restaurants and catering","Total","0"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Sports","Total","46"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Travel, tourism and leisure","Total","216"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Transport services","Total","42"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Total","Total","196,619"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Education","Total","4,893"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Arts and humanities","Total","37,526"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Social sciences, journalism and information","Total","16,087"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Business, administration and law","Total","36,842"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Natural sciences, mathematics and statistics","Total","16,204"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Biology","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Biochemistry","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Environment","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Physical sciences","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Mathematics and statistics","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Information and Communication Technologies","Total","13,933"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Engineering, manufacturing and construction","Total","52,823"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Engineering and engineering trades","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Manufacturing and processing","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Architecture and construction","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Agriculture, forestry, fisheries and veterinary","Total","2,926"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Health and welfare","Total","12,719"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Health","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Dental studies","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Medicine, therapy and rehabilitation","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Welfare","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Care of the elderly and of disabled adults","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Child care and youth services","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Social work and counselling","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Services","Total","1,690"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Domestic services","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Hair and beauty services","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Hotel, restaurants and catering","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Sports","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Travel, tourism and leisure","Total",":"
"2013","Germany (until 1990 former territory of the FRG)","Number","Tertiary education (levels 5-8)","Transport services","Total",":"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Total","Total","1,876"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Education","Total","6"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Arts and humanities","Total","295"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Social sciences, journalism and information","Total","216"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Business, administration and law","Total","817"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Natural sciences, mathematics and statistics","Total","50"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Biology","Total",":"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Biochemistry","Total",":"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Environment","Total","10"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Physical sciences","Total","17"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Mathematics and statistics","Total","7"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Information and Communication Technologies","Total","111"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Engineering, manufacturing and construction","Total","128"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Engineering and engineering trades","Total","25"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Manufacturing and processing","Total","1"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Architecture and construction","Total","18"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Agriculture, forestry, fisheries and veterinary","Total","147"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Health and welfare","Total","101"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Health","Total",":"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Dental studies","Total","0"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Medicine, therapy and rehabilitation","Total",":"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Welfare","Total",":"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Care of the elderly and of disabled adults","Total",":"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Child care and youth services","Total","0"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Social work and counselling","Total","2"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Services","Total","5"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Domestic services","Total","0"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Hair and beauty services","Total","0"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Hotel, restaurants and catering","Total","1"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Sports","Total","4"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Travel, tourism and leisure","Total","0"
"2013","Estonia","Number","Tertiary education (levels 5-8)","Transport services","Total","0"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Total","Total","12,861"
"2013","Ireland","Number","Tertiary education (levels 5-8)","Education","Total",":"
