"TIME","GEO","UNIT","S_ADJ","INDIC","Value"
"2015M04","Spain","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.83"
"2015M04","France","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.30"
"2015M04","Croatia","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.11"
"2015M04","Italy","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.7"
"2015M04","Cyprus","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","99.85"
"2015M04","Latvia","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.65"
"2015M04","Lithuania","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.36"
"2015M04","Luxembourg","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.25"
"2015M04","Hungary","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.10"
"2015M04","Malta","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.36"
"2015M04","Netherlands","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.71"
"2015M04","Austria","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.28"
"2015M04","Poland","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.3"
"2015M04","Portugal","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.40"
"2015M04","Romania","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","101.51"
"2015M04","Slovenia","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.20"
"2015M04","Slovakia","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.13"
"2015M04","Finland","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.22"
"2015M04","Sweden","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","99.82"
"2015M04","Iceland","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","99.77"
"2015M04","Norway","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","99.6"
"2015M04","Switzerland","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.12"
"2015M04","United Kingdom","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","99.9"
"2015M04","North Macedonia","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.31"
"2015M04","Serbia","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.0"
"2015M04","Turkey","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","99.43"
"2015M04","United States","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.01"
"2015M05","Belgium","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.43"
"2015M05","Bulgaria","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.70"
"2015M05","Czechia","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.5"
"2015M05","Denmark","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.4"
"2015M05","Germany (until 1990 former territory of the FRG)","Harmonized consumer price index, 2015=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","HICP - All items (HICP=Harmonized Index of Consumer Prices)","100.6"
