TIME,SEX,COUNTRY,SIZECLAS,VALUE
2018,Males,Romania,Education; human health and social work activities; arts entertainment and recreation; other service activities,1258
2018,Males,Romania,Education,1171
2018,Males,Romania,Human health and social work activities,1613
2018,Males,Romania,Arts entertainment and recreation,906
2018,Males,Romania,Other service activities,847
2018,Males,Slovenia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1840
2018,Males,Slovenia,Industry construction and services (except public administration defense compulsory social security),1817
2018,Males,Slovenia,Business economy,1787
2018,Males,Slovenia,Industry and construction,1737
2018,Males,Slovenia,Industry (except construction),1792
2018,Males,Slovenia,Mining and quarrying,2298
2018,Males,Slovenia,Manufacturing,1762
2018,Males,Slovenia,Electricity gas steam and air conditioning supply,2484
2018,Males,Slovenia,Water supply; sewerage waste management and remediation activities,1567
2018,Males,Slovenia,Construction,1466
2018,Males,Slovenia,Services (except activities of households as employers and extra-territorial organisations and bodies),1936
2018,Males,Slovenia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1901
2018,Males,Slovenia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1807
2018,Males,Slovenia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1873
2018,Males,Slovenia,Transportation and storage,1533
2018,Males,Slovenia,Accommodation and food service activities,1371
2018,Males,Slovenia,Information and communication,2682
2018,Males,Slovenia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1952
2018,Males,Slovenia,Financial and insurance activities,2840
2018,Males,Slovenia,Real estate activities,1903
2018,Males,Slovenia,Professional scientific and technical activities,2377
2018,Males,Slovenia,Administrative and support service activities,1337
2018,Males,Slovenia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2134
2018,Males,Slovenia,Public administration and defence; compulsory social security,2180
2018,Males,Slovenia,Education; human health and social work activities; arts entertainment and recreation; other service activities,2100
2018,Males,Slovenia,Education,2080
2018,Males,Slovenia,Human health and social work activities,2237
2018,Males,Slovenia,Arts entertainment and recreation,1936
2018,Males,Slovenia,Other service activities,1620
2018,Males,Slovakia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1296
2018,Males,Slovakia,Industry construction and services (except public administration defense compulsory social security),1298
2018,Males,Slovakia,Business economy,1305
2018,Males,Slovakia,Industry and construction,1285
2018,Males,Slovakia,Industry (except construction),1316
2018,Males,Slovakia,Mining and quarrying,1225
2018,Males,Slovakia,Manufacturing,1322
2018,Males,Slovakia,Electricity gas steam and air conditioning supply,1704
2018,Males,Slovakia,Water supply; sewerage waste management and remediation activities,1014
2018,Males,Slovakia,Construction,1116
2018,Males,Slovakia,Services (except activities of households as employers and extra-territorial organisations and bodies),1304
2018,Males,Slovakia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1308
2018,Males,Slovakia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1310
2018,Males,Slovakia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1324
2018,Males,Slovakia,Transportation and storage,1070
2018,Males,Slovakia,Accommodation and food service activities,850
2018,Males,Slovakia,Information and communication,2115
2018,Males,Slovakia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1364
2018,Males,Slovakia,Financial and insurance activities,2333
2018,Males,Slovakia,Real estate activities,1217
2018,Males,Slovakia,Professional scientific and technical activities,1674
2018,Males,Slovakia,Administrative and support service activities,922
2018,Males,Slovakia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1251
2018,Males,Slovakia,Public administration and defence; compulsory social security,1275
2018,Males,Slovakia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1231
2018,Males,Slovakia,Education,1128
2018,Males,Slovakia,Human health and social work activities,1524
2018,Males,Slovakia,Arts entertainment and recreation,1166
2018,Males,Slovakia,Other service activities,794
2018,Males,Finland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3738
2018,Males,Finland,Industry construction and services (except public administration defense compulsory social security),3719
2018,Males,Finland,Business economy,3727
2018,Males,Finland,Industry and construction,3732
2018,Males,Finland,Industry (except construction),3825
2018,Males,Finland,Mining and quarrying,4167
2018,Males,Finland,Manufacturing,3797
2018,Males,Finland,Electricity gas steam and air conditioning supply,4809
2018,Males,Finland,Water supply; sewerage waste management and remediation activities,3414
2018,Males,Finland,Construction,3524
2018,Males,Finland,Services (except activities of households as employers and extra-territorial organisations and bodies),3741
2018,Males,Finland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3711
2018,Males,Finland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3683
2018,Males,Finland,Wholesale and retail trade; repair of motor vehicles and motorcycles,3520
2018,Males,Finland,Transportation and storage,3418
2018,Males,Finland,Accommodation and food service activities,2647
2018,Males,Finland,Information and communication,4620
2018,Males,Finland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3805
2018,Males,Finland,Financial and insurance activities,5368
2018,Males,Finland,Real estate activities,3876
2018,Males,Finland,Professional scientific and technical activities,4267
2018,Males,Finland,Administrative and support service activities,2796
2018,Males,Finland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3779
2018,Males,Finland,Public administration and defence; compulsory social security,4010
2018,Males,Finland,Education; human health and social work activities; arts entertainment and recreation; other service activities,3673
2018,Males,Finland,Education,3818
2018,Males,Finland,Human health and social work activities,3723
2018,Males,Finland,Arts entertainment and recreation,3146
2018,Males,Finland,Other service activities,3446
2018,Males,Sweden,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3743
2018,Males,Sweden,Industry construction and services (except public administration defense compulsory social security),3738
2018,Males,Sweden,Business economy,3821
2018,Males,Sweden,Industry and construction,3820
2018,Males,Sweden,Industry (except construction),3857
2018,Males,Sweden,Mining and quarrying,4180
2018,Males,Sweden,Manufacturing,3833
2018,Males,Sweden,Electricity gas steam and air conditioning supply,4445
2018,Males,Sweden,Water supply; sewerage waste management and remediation activities,3536
2018,Males,Sweden,Construction,3743
2018,Males,Sweden,Services (except activities of households as employers and extra-territorial organisations and bodies),3708
2018,Males,Sweden,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3698
2018,Males,Sweden,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3713
2018,Males,Sweden,Wholesale and retail trade; repair of motor vehicles and motorcycles,3710
2018,Males,Sweden,Transportation and storage,3315
2018,Males,Sweden,Accommodation and food service activities,2780
2018,Males,Sweden,Information and communication,4630
2018,Males,Sweden,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4016
2018,Males,Sweden,Financial and insurance activities,5794
2018,Males,Sweden,Real estate activities,3810
2018,Males,Sweden,Professional scientific and technical activities,4593
2018,Males,Sweden,Administrative and support service activities,3094
2018,Males,Sweden,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3497
2018,Males,Sweden,Public administration and defence; compulsory social security,3901
2018,Males,Sweden,Education; human health and social work activities; arts entertainment and recreation; other service activities,3431
2018,Males,Sweden,Education,3433
2018,Males,Sweden,Human health and social work activities,3440
2018,Males,Sweden,Arts entertainment and recreation,3197
2018,Males,Sweden,Other service activities,3542
2018,Males,Iceland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),5379
2018,Males,Iceland,Industry construction and services (except public administration defense compulsory social security),5309
2018,Males,Iceland,Business economy,5316
2018,Males,Iceland,Industry and construction,5534
2018,Males,Iceland,Industry (except construction),5509
2018,Males,Iceland,Mining and quarrying,0
2018,Males,Iceland,Manufacturing,5410
2018,Males,Iceland,Electricity gas steam and air conditioning supply,7198
2018,Males,Iceland,Water supply; sewerage waste management and remediation activities,4777
2018,Males,Iceland,Construction,5595
2018,Males,Iceland,Services (except activities of households as employers and extra-territorial organisations and bodies),5309
2018,Males,Iceland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),5195
2018,Males,Iceland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4857
2018,Males,Iceland,Wholesale and retail trade; repair of motor vehicles and motorcycles,5020
2018,Males,Iceland,Transportation and storage,5324
2018,Males,Iceland,Accommodation and food service activities,3849
2018,Males,Iceland,Information and communication,5756
2018,Males,Iceland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,9342
2018,Males,Iceland,Financial and insurance activities,9342
2018,Males,Iceland,Real estate activities,0
2018,Males,Iceland,Professional scientific and technical activities,0
2018,Males,Iceland,Administrative and support service activities,0
2018,Males,Iceland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,5601
2018,Males,Iceland,Public administration and defence; compulsory social security,6268
2018,Males,Iceland,Education; human health and social work activities; arts entertainment and recreation; other service activities,5272
2018,Males,Iceland,Education,4765
2018,Males,Iceland,Human health and social work activities,5797
2018,Males,Iceland,Arts entertainment and recreation,0
2018,Males,Iceland,Other service activities,0
2018,Males,Norway,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),5164
2018,Males,Norway,Industry construction and services (except public administration defense compulsory social security),5136
2018,Males,Norway,Business economy,5213
2018,Males,Norway,Industry and construction,5341
2018,Males,Norway,Industry (except construction),5847
2018,Males,Norway,Mining and quarrying,8173
2018,Males,Norway,Manufacturing,5220
2018,Males,Norway,Electricity gas steam and air conditioning supply,6554
2018,Males,Norway,Water supply; sewerage waste management and remediation activities,4647
2018,Males,Norway,Construction,4667
2018,Males,Norway,Services (except activities of households as employers and extra-territorial organisations and bodies),5076
2018,Males,Norway,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),5022
2018,Males,Norway,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4861
2018,Males,Norway,Wholesale and retail trade; repair of motor vehicles and motorcycles,4521
2018,Males,Norway,Transportation and storage,5006
2018,Males,Norway,Accommodation and food service activities,3318
2018,Males,Norway,Information and communication,6649
2018,Males,Norway,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,5623
2018,Males,Norway,Financial and insurance activities,8023
2018,Males,Norway,Real estate activities,6263
2018,Males,Norway,Professional scientific and technical activities,6592
2018,Males,Norway,Administrative and support service activities,4223
2018,Males,Norway,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,5002
2018,Males,Norway,Public administration and defence; compulsory social security,5561
2018,Males,Norway,Education; human health and social work activities; arts entertainment and recreation; other service activities,4781
2018,Males,Norway,Education,4836
2018,Males,Norway,Human health and social work activities,4850
2018,Males,Norway,Arts entertainment and recreation,4160
2018,Males,Norway,Other service activities,4861
2018,Males,Switzerland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),7226
2018,Males,Switzerland,Industry construction and services (except public administration defense compulsory social security),7224
2018,Males,Switzerland,Business economy,7171
2018,Males,Switzerland,Industry and construction,6595
2018,Males,Switzerland,Industry (except construction),6812
2018,Males,Switzerland,Mining and quarrying,6327
2018,Males,Switzerland,Manufacturing,6773
2018,Males,Switzerland,Electricity gas steam and air conditioning supply,7832
2018,Males,Switzerland,Water supply; sewerage waste management and remediation activities,6354
2018,Males,Switzerland,Construction,6145
2018,Males,Switzerland,Services (except activities of households as employers and extra-territorial organisations and bodies),7582
2018,Males,Switzerland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),7579
2018,Males,Switzerland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,6792
2018,Males,Switzerland,Wholesale and retail trade; repair of motor vehicles and motorcycles,6916
2018,Males,Switzerland,Transportation and storage,6197
2018,Males,Switzerland,Accommodation and food service activities,4612
2018,Males,Switzerland,Information and communication,9175
2018,Males,Switzerland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,8664
2018,Males,Switzerland,Financial and insurance activities,11236
2018,Males,Switzerland,Real estate activities,7805
2018,Males,Switzerland,Professional scientific and technical activities,9499
2018,Males,Switzerland,Administrative and support service activities,5865
2018,Males,Switzerland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,7610
2018,Males,Switzerland,Public administration and defence; compulsory social security,8837
2018,Males,Switzerland,Education; human health and social work activities; arts entertainment and recreation; other service activities,7597
2018,Males,Switzerland,Education,8401
2018,Males,Switzerland,Human health and social work activities,7398
2018,Males,Switzerland,Arts entertainment and recreation,6851
2018,Males,Switzerland,Other service activities,7543
2018,Males,United Kingdom,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3677
2018,Males,United Kingdom,Industry construction and services (except public administration defense compulsory social security),3677
2018,Males,United Kingdom,Business economy,3672
2018,Males,United Kingdom,Industry and construction,3658
2018,Males,United Kingdom,Industry (except construction),3589
2018,Males,United Kingdom,Mining and quarrying,5114
2018,Males,United Kingdom,Manufacturing,3509
2018,Males,United Kingdom,Electricity gas steam and air conditioning supply,4420
2018,Males,United Kingdom,Water supply; sewerage waste management and remediation activities,3487
2018,Males,United Kingdom,Construction,3874
2018,Males,United Kingdom,Services (except activities of households as employers and extra-territorial organisations and bodies),3682
2018,Males,United Kingdom,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3682
2018,Males,United Kingdom,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3213
2018,Males,United Kingdom,Wholesale and retail trade; repair of motor vehicles and motorcycles,2999
2018,Males,United Kingdom,Transportation and storage,3422
2018,Males,United Kingdom,Accommodation and food service activities,2150
2018,Males,United Kingdom,Information and communication,4546
2018,Males,United Kingdom,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4430
2018,Males,United Kingdom,Financial and insurance activities,5949
2018,Males,United Kingdom,Real estate activities,3611
2018,Males,United Kingdom,Professional scientific and technical activities,5139
2018,Males,United Kingdom,Administrative and support service activities,2983
2018,Males,United Kingdom,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3689
2018,Males,United Kingdom,Public administration and defence; compulsory social security,3676
2018,Males,United Kingdom,Education; human health and social work activities; arts entertainment and recreation; other service activities,3692
2018,Males,United Kingdom,Education,3664
2018,Males,United Kingdom,Human health and social work activities,3957
2018,Males,United Kingdom,Arts entertainment and recreation,3207
2018,Males,United Kingdom,Other service activities,3268
2018,Males,North Macedonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),648
2018,Males,North Macedonia,Industry construction and services (except public administration defense compulsory social security),636
2018,Males,North Macedonia,Business economy,632
2018,Males,North Macedonia,Industry and construction,595
2018,Males,North Macedonia,Industry (except construction),606
2018,Males,North Macedonia,Mining and quarrying,851
2018,Males,North Macedonia,Manufacturing,560
2018,Males,North Macedonia,Electricity gas steam and air conditioning supply,957
2018,Males,North Macedonia,Water supply; sewerage waste management and remediation activities,501
2018,Males,North Macedonia,Construction,554
2018,Males,North Macedonia,Services (except activities of households as employers and extra-territorial organisations and bodies),682
2018,Males,North Macedonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),669
2018,Males,North Macedonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,698
2018,Males,North Macedonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,683
2018,Males,North Macedonia,Transportation and storage,619
2018,Males,North Macedonia,Accommodation and food service activities,451
2018,Males,North Macedonia,Information and communication,1198
2018,Males,North Macedonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,600
2018,Males,North Macedonia,Financial and insurance activities,1104
2018,Males,North Macedonia,Real estate activities,495
2018,Males,North Macedonia,Professional scientific and technical activities,717
2018,Males,North Macedonia,Administrative and support service activities,448
2018,Males,North Macedonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,695
2018,Males,North Macedonia,Public administration and defence; compulsory social security,724
2018,Males,North Macedonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,657
2018,Males,North Macedonia,Education,591
2018,Males,North Macedonia,Human health and social work activities,842
2018,Males,North Macedonia,Arts entertainment and recreation,583
2018,Males,North Macedonia,Other service activities,698
2018,Males,Albania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Males,Albania,Industry construction and services (except public administration defense compulsory social security),417
2018,Males,Albania,Business economy,402
2018,Males,Albania,Industry and construction,395
2018,Males,Albania,Industry (except construction),419
2018,Males,Albania,Mining and quarrying,665
2018,Males,Albania,Manufacturing,323
2018,Males,Albania,Electricity gas steam and air conditioning supply,604
2018,Males,Albania,Water supply; sewerage waste management and remediation activities,328
2018,Males,Albania,Construction,355
2018,Males,Albania,Services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Males,Albania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),433
2018,Males,Albania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,363
2018,Males,Albania,Wholesale and retail trade; repair of motor vehicles and motorcycles,333
2018,Males,Albania,Transportation and storage,422
2018,Males,Albania,Accommodation and food service activities,261
2018,Males,Albania,Information and communication,616
2018,Males,Albania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,502
2018,Males,Albania,Financial and insurance activities,833
2018,Males,Albania,Real estate activities,433
2018,Males,Albania,Professional scientific and technical activities,513
2018,Males,Albania,Administrative and support service activities,427
2018,Males,Albania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
2018,Males,Albania,Public administration and defence; compulsory social security,0
2018,Males,Albania,Education; human health and social work activities; arts entertainment and recreation; other service activities,506
2018,Males,Albania,Education,524
2018,Males,Albania,Human health and social work activities,518
2018,Males,Albania,Arts entertainment and recreation,432
2018,Males,Albania,Other service activities,464
2018,Males,Serbia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),662
2018,Males,Serbia,Industry construction and services (except public administration defense compulsory social security),659
2018,Males,Serbia,Business economy,659
2018,Males,Serbia,Industry and construction,660
2018,Males,Serbia,Industry (except construction),687
2018,Males,Serbia,Mining and quarrying,0
2018,Males,Serbia,Manufacturing,640
2018,Males,Serbia,Electricity gas steam and air conditioning supply,0
2018,Males,Serbia,Water supply; sewerage waste management and remediation activities,512
2018,Males,Serbia,Construction,505
2018,Males,Serbia,Services (except activities of households as employers and extra-territorial organisations and bodies),664
2018,Males,Serbia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),659
2018,Males,Serbia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,627
2018,Males,Serbia,Wholesale and retail trade; repair of motor vehicles and motorcycles,554
2018,Males,Serbia,Transportation and storage,598
2018,Males,Serbia,Accommodation and food service activities,490
2018,Males,Serbia,Information and communication,994
2018,Males,Serbia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,720
2018,Males,Serbia,Financial and insurance activities,1246
2018,Males,Serbia,Real estate activities,0
2018,Males,Serbia,Professional scientific and technical activities,918
2018,Males,Serbia,Administrative and support service activities,505
2018,Males,Serbia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,676
2018,Males,Serbia,Public administration and defence; compulsory social security,733
2018,Males,Serbia,Education; human health and social work activities; arts entertainment and recreation; other service activities,657
2018,Males,Serbia,Education,651
2018,Males,Serbia,Human health and social work activities,718
2018,Males,Serbia,Arts entertainment and recreation,536
2018,Males,Serbia,Other service activities,664
2018,Males,Turkey,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Males,Turkey,Industry construction and services (except public administration defense compulsory social security),778
2018,Males,Turkey,Business economy,725
2018,Males,Turkey,Industry and construction,710
2018,Males,Turkey,Industry (except construction),726
2018,Males,Turkey,Mining and quarrying,845
2018,Males,Turkey,Manufacturing,709
2018,Males,Turkey,Electricity gas steam and air conditioning supply,851
2018,Males,Turkey,Water supply; sewerage waste management and remediation activities,814
2018,Males,Turkey,Construction,628
2018,Males,Turkey,Services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Males,Turkey,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),845
2018,Males,Turkey,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,712
2018,Males,Turkey,Wholesale and retail trade; repair of motor vehicles and motorcycles,669
2018,Males,Turkey,Transportation and storage,772
2018,Males,Turkey,Accommodation and food service activities,571
2018,Males,Turkey,Information and communication,1471
2018,Males,Turkey,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,851
2018,Males,Turkey,Financial and insurance activities,1166
2018,Males,Turkey,Real estate activities,638
2018,Males,Turkey,Professional scientific and technical activities,1190
2018,Males,Turkey,Administrative and support service activities,622
2018,Males,Turkey,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
2018,Males,Turkey,Public administration and defence; compulsory social security,0
2018,Males,Turkey,Education; human health and social work activities; arts entertainment and recreation; other service activities,1150
2018,Males,Turkey,Education,1092
2018,Males,Turkey,Human health and social work activities,1374
2018,Males,Turkey,Arts entertainment and recreation,985
2018,Males,Turkey,Other service activities,838
2018,Females,Belgium,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Females,Belgium,Industry construction and services (except public administration defense compulsory social security),3188
2018,Females,Belgium,Business economy,3236
2018,Females,Belgium,Industry and construction,3359
2018,Females,Belgium,Industry (except construction),3516
2018,Females,Belgium,Mining and quarrying,3383
2018,Females,Belgium,Manufacturing,3450
2018,Females,Belgium,Electricity gas steam and air conditioning supply,5003
2018,Females,Belgium,Water supply; sewerage waste management and remediation activities,3722
2018,Females,Belgium,Construction,3082
2018,Females,Belgium,Services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Females,Belgium,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3159
2018,Females,Belgium,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3095
2018,Females,Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,3034
2018,Females,Belgium,Transportation and storage,3060
2018,Females,Belgium,Accommodation and food service activities,2556
2018,Females,Belgium,Information and communication,4104
2018,Females,Belgium,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3345
2018,Females,Belgium,Financial and insurance activities,4322
2018,Females,Belgium,Real estate activities,3445
2018,Females,Belgium,Professional scientific and technical activities,4384
2018,Females,Belgium,Administrative and support service activities,2682
2018,Females,Belgium,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
2018,Females,Belgium,Public administration and defence; compulsory social security,0
2018,Females,Belgium,Education; human health and social work activities; arts entertainment and recreation; other service activities,3108
2018,Females,Belgium,Education,3613
2018,Females,Belgium,Human health and social work activities,2910
2018,Females,Belgium,Arts entertainment and recreation,2799
2018,Females,Belgium,Other service activities,2964
2018,Females,Bulgaria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),563
2018,Females,Bulgaria,Industry construction and services (except public administration defense compulsory social security),561
2018,Females,Bulgaria,Business economy,568
2018,Females,Bulgaria,Industry and construction,479
2018,Females,Bulgaria,Industry (except construction),474
2018,Females,Bulgaria,Mining and quarrying,771
2018,Females,Bulgaria,Manufacturing,458
2018,Females,Bulgaria,Electricity gas steam and air conditioning supply,927
2018,Females,Bulgaria,Water supply; sewerage waste management and remediation activities,439
2018,Females,Bulgaria,Construction,564
2018,Females,Bulgaria,Services (except activities of households as employers and extra-territorial organisations and bodies),596
2018,Females,Bulgaria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),597
2018,Females,Bulgaria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,598
2018,Females,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,547
2018,Females,Bulgaria,Transportation and storage,548
2018,Females,Bulgaria,Accommodation and food service activities,380
2018,Females,Bulgaria,Information and communication,1191
2018,Females,Bulgaria,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,720
2018,Females,Bulgaria,Financial and insurance activities,798
2018,Females,Bulgaria,Real estate activities,575
2018,Females,Bulgaria,Professional scientific and technical activities,873
2018,Females,Bulgaria,Administrative and support service activities,552
2018,Females,Bulgaria,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,553
2018,Females,Bulgaria,Public administration and defence; compulsory social security,583
2018,Females,Bulgaria,Education; human health and social work activities; arts entertainment and recreation; other service activities,544
2018,Females,Bulgaria,Education,562
2018,Females,Bulgaria,Human health and social work activities,542
2018,Females,Bulgaria,Arts entertainment and recreation,449
2018,Females,Bulgaria,Other service activities,474
2018,Females,Czechia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1086
2018,Females,Czechia,Industry construction and services (except public administration defense compulsory social security),1074
2018,Females,Czechia,Business economy,1045
2018,Females,Czechia,Industry and construction,1018
2018,Females,Czechia,Industry (except construction),1015
2018,Females,Czechia,Mining and quarrying,1135
2018,Females,Czechia,Manufacturing,1007
2018,Females,Czechia,Electricity gas steam and air conditioning supply,1385
2018,Females,Czechia,Water supply; sewerage waste management and remediation activities,989
2018,Females,Czechia,Construction,1076
2018,Females,Czechia,Services (except activities of households as employers and extra-territorial organisations and bodies),1111
2018,Females,Czechia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1098
2018,Females,Czechia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1044
2018,Females,Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1026
2018,Females,Czechia,Transportation and storage,1049
2018,Females,Czechia,Accommodation and food service activities,758
2018,Females,Czechia,Information and communication,1576
2018,Females,Czechia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1102
2018,Females,Czechia,Financial and insurance activities,1488
2018,Females,Czechia,Real estate activities,1072
2018,Females,Czechia,Professional scientific and technical activities,1406
2018,Females,Czechia,Administrative and support service activities,785
2018,Females,Czechia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1159
2018,Females,Czechia,Public administration and defence; compulsory social security,1217
2018,Females,Czechia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1141
2018,Females,Czechia,Education,1098
2018,Females,Czechia,Human health and social work activities,1225
2018,Females,Czechia,Arts entertainment and recreation,996
2018,Females,Czechia,Other service activities,901
2018,Females,Denmark,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4087
2018,Females,Denmark,Industry construction and services (except public administration defense compulsory social security),4060
2018,Females,Denmark,Business economy,4152
2018,Females,Denmark,Industry and construction,4759
2018,Females,Denmark,Industry (except construction),4810
2018,Females,Denmark,Mining and quarrying,6496
2018,Females,Denmark,Manufacturing,4761
2018,Females,Denmark,Electricity gas steam and air conditioning supply,5422
2018,Females,Denmark,Water supply; sewerage waste management and remediation activities,4616
2018,Females,Denmark,Construction,4374
2018,Females,Denmark,Services (except activities of households as employers and extra-territorial organisations and bodies),4035
2018,Females,Denmark,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4002
2018,Females,Denmark,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3662
2018,Females,Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,3366
2018,Females,Denmark,Transportation and storage,4823
2018,Females,Denmark,Accommodation and food service activities,3054
2018,Females,Denmark,Information and communication,5146
2018,Females,Denmark,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4499
2018,Females,Denmark,Financial and insurance activities,5631
2018,Females,Denmark,Real estate activities,4210
2018,Females,Denmark,Professional scientific and technical activities,5071
2018,Females,Denmark,Administrative and support service activities,3911
2018,Females,Denmark,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4036
2018,Females,Denmark,Public administration and defence; compulsory social security,4575
2018,Females,Denmark,Education; human health and social work activities; arts entertainment and recreation; other service activities,3980
2018,Females,Denmark,Education,4473
2018,Females,Denmark,Human health and social work activities,3828
