TIME,SEX,COUNTRY,SIZECLAS,VALUE
2018,Total,Germany (until 1990 former territory of the FRG),Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3346
2018,Total,Germany (until 1990 former territory of the FRG),Financial and insurance activities,4717
2018,Total,Germany (until 1990 former territory of the FRG),Real estate activities,3523
2018,Total,Germany (until 1990 former territory of the FRG),Professional scientific and technical activities,4165
2018,Total,Germany (until 1990 former territory of the FRG),Administrative and support service activities,2343
2018,Total,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3440
2018,Total,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security,3619
2018,Total,Germany (until 1990 former territory of the FRG),Education; human health and social work activities; arts entertainment and recreation; other service activities,3382
2018,Total,Germany (until 1990 former territory of the FRG),Education,3777
2018,Total,Germany (until 1990 former territory of the FRG),Human health and social work activities,3263
2018,Total,Germany (until 1990 former territory of the FRG),Arts entertainment and recreation,2949
2018,Total,Germany (until 1990 former territory of the FRG),Other service activities,3118
2018,Total,Estonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1386
2018,Total,Estonia,Industry construction and services (except public administration defense compulsory social security),1372
2018,Total,Estonia,Business economy,1396
2018,Total,Estonia,Industry and construction,1377
2018,Total,Estonia,Industry (except construction),1367
2018,Total,Estonia,Mining and quarrying,1669
2018,Total,Estonia,Manufacturing,1338
2018,Total,Estonia,Electricity gas steam and air conditioning supply,1730
2018,Total,Estonia,Water supply; sewerage waste management and remediation activities,1325
2018,Total,Estonia,Construction,1424
2018,Total,Estonia,Services (except activities of households as employers and extra-territorial organisations and bodies),1389
2018,Total,Estonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1369
2018,Total,Estonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1369
2018,Total,Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1232
2018,Total,Estonia,Transportation and storage,1360
2018,Total,Estonia,Accommodation and food service activities,1003
2018,Total,Estonia,Information and communication,2207
2018,Total,Estonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1523
2018,Total,Estonia,Financial and insurance activities,2120
2018,Total,Estonia,Real estate activities,1271
2018,Total,Estonia,Professional scientific and technical activities,1846
2018,Total,Estonia,Administrative and support service activities,1164
2018,Total,Estonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1364
2018,Total,Estonia,Public administration and defence; compulsory social security,1554
2018,Total,Estonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1303
2018,Total,Estonia,Education,1231
2018,Total,Estonia,Human health and social work activities,1478
2018,Total,Estonia,Arts entertainment and recreation,1155
2018,Total,Estonia,Other service activities,1144
2018,Total,Ireland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3786
2018,Total,Ireland,Industry construction and services (except public administration defense compulsory social security),3760
2018,Total,Ireland,Business economy,3679
2018,Total,Ireland,Industry and construction,4016
2018,Total,Ireland,Industry (except construction),4125
2018,Total,Ireland,Mining and quarrying,0
2018,Total,Ireland,Manufacturing,4048
2018,Total,Ireland,Electricity gas steam and air conditioning supply,0
2018,Total,Ireland,Water supply; sewerage waste management and remediation activities,3563
2018,Total,Ireland,Construction,3612
2018,Total,Ireland,Services (except activities of households as employers and extra-territorial organisations and bodies),3740
2018,Total,Ireland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3705
2018,Total,Ireland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3301
2018,Total,Ireland,Wholesale and retail trade; repair of motor vehicles and motorcycles,3031
2018,Total,Ireland,Transportation and storage,3635
2018,Total,Ireland,Accommodation and food service activities,2214
2018,Total,Ireland,Information and communication,5646
2018,Total,Ireland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4050
2018,Total,Ireland,Financial and insurance activities,5156
2018,Total,Ireland,Real estate activities,3735
2018,Total,Ireland,Professional scientific and technical activities,4482
2018,Total,Ireland,Administrative and support service activities,2915
2018,Total,Ireland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3990
2018,Total,Ireland,Public administration and defence; compulsory social security,4138
2018,Total,Ireland,Education; human health and social work activities; arts entertainment and recreation; other service activities,3953
2018,Total,Ireland,Education,4468
2018,Total,Ireland,Human health and social work activities,3800
2018,Total,Ireland,Arts entertainment and recreation,2902
2018,Total,Ireland,Other service activities,3029
2018,Total,Greece,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Total,Greece,Industry construction and services (except public administration defense compulsory social security),1446
2018,Total,Greece,Business economy,1403
2018,Total,Greece,Industry and construction,1411
2018,Total,Greece,Industry (except construction),1412
2018,Total,Greece,Mining and quarrying,1717
2018,Total,Greece,Manufacturing,1385
2018,Total,Greece,Electricity gas steam and air conditioning supply,2053
2018,Total,Greece,Water supply; sewerage waste management and remediation activities,1634
2018,Total,Greece,Construction,1408
2018,Total,Greece,Services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Total,Greece,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1455
2018,Total,Greece,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1319
2018,Total,Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,1327
2018,Total,Greece,Transportation and storage,2156
2018,Total,Greece,Accommodation and food service activities,1027
2018,Total,Greece,Information and communication,1756
2018,Total,Greece,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1690
2018,Total,Greece,Financial and insurance activities,2445
2018,Total,Greece,Real estate activities,1528
2018,Total,Greece,Professional scientific and technical activities,1917
2018,Total,Greece,Administrative and support service activities,1055
2018,Total,Greece,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
2018,Total,Greece,Public administration and defence; compulsory social security,0
2018,Total,Greece,Education; human health and social work activities; arts entertainment and recreation; other service activities,1596
2018,Total,Greece,Education,1765
2018,Total,Greece,Human health and social work activities,1547
2018,Total,Greece,Arts entertainment and recreation,1315
2018,Total,Greece,Other service activities,1230
2018,Total,Spain,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2061
2018,Total,Spain,Industry construction and services (except public administration defense compulsory social security),2043
2018,Total,Spain,Business economy,1987
2018,Total,Spain,Industry and construction,2144
2018,Total,Spain,Industry (except construction),2214
2018,Total,Spain,Mining and quarrying,2679
2018,Total,Spain,Manufacturing,2189
2018,Total,Spain,Electricity gas steam and air conditioning supply,3682
2018,Total,Spain,Water supply; sewerage waste management and remediation activities,2093
2018,Total,Spain,Construction,1908
2018,Total,Spain,Services (except activities of households as employers and extra-territorial organisations and bodies),2039
2018,Total,Spain,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2014
2018,Total,Spain,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1845
2018,Total,Spain,Wholesale and retail trade; repair of motor vehicles and motorcycles,1744
2018,Total,Spain,Transportation and storage,2093
2018,Total,Spain,Accommodation and food service activities,1530
2018,Total,Spain,Information and communication,2588
2018,Total,Spain,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2054
2018,Total,Spain,Financial and insurance activities,3320
2018,Total,Spain,Real estate activities,2126
2018,Total,Spain,Professional scientific and technical activities,2367
2018,Total,Spain,Administrative and support service activities,1541
2018,Total,Spain,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2224
2018,Total,Spain,Public administration and defence; compulsory social security,2247
2018,Total,Spain,Education; human health and social work activities; arts entertainment and recreation; other service activities,2215
2018,Total,Spain,Education,2358
2018,Total,Spain,Human health and social work activities,2223
2018,Total,Spain,Arts entertainment and recreation,1940
2018,Total,Spain,Other service activities,1681
2018,Total,France,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2846
2018,Total,France,Industry construction and services (except public administration defense compulsory social security),2895
2018,Total,France,Business economy,3006
2018,Total,France,Industry and construction,3024
2018,Total,France,Industry (except construction),3103
2018,Total,France,Mining and quarrying,3073
2018,Total,France,Manufacturing,3094
2018,Total,France,Electricity gas steam and air conditioning supply,3765
2018,Total,France,Water supply; sewerage waste management and remediation activities,2574
2018,Total,France,Construction,2771
2018,Total,France,Services (except activities of households as employers and extra-territorial organisations and bodies),2804
2018,Total,France,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2859
2018,Total,France,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2809
2018,Total,France,Wholesale and retail trade; repair of motor vehicles and motorcycles,2625
2018,Total,France,Transportation and storage,2804
2018,Total,France,Accommodation and food service activities,2167
2018,Total,France,Information and communication,4039
2018,Total,France,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3264
2018,Total,France,Financial and insurance activities,4153
2018,Total,France,Real estate activities,2848
2018,Total,France,Professional scientific and technical activities,3903
2018,Total,France,Administrative and support service activities,2363
2018,Total,France,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2591
2018,Total,France,Public administration and defence; compulsory social security,2518
2018,Total,France,Education; human health and social work activities; arts entertainment and recreation; other service activities,2627
2018,Total,France,Education,3004
2018,Total,France,Human health and social work activities,2414
2018,Total,France,Arts entertainment and recreation,3149
2018,Total,France,Other service activities,2430
2018,Total,Croatia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1186
2018,Total,Croatia,Industry construction and services (except public administration defense compulsory social security),1179
2018,Total,Croatia,Business economy,1165
2018,Total,Croatia,Industry and construction,1081
2018,Total,Croatia,Industry (except construction),1095
2018,Total,Croatia,Mining and quarrying,1480
2018,Total,Croatia,Manufacturing,1062
2018,Total,Croatia,Electricity gas steam and air conditioning supply,1573
2018,Total,Croatia,Water supply; sewerage waste management and remediation activities,1083
2018,Total,Croatia,Construction,1024
2018,Total,Croatia,Services (except activities of households as employers and extra-territorial organisations and bodies),1233
2018,Total,Croatia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1228
2018,Total,Croatia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1165
2018,Total,Croatia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1053
2018,Total,Croatia,Transportation and storage,1320
2018,Total,Croatia,Accommodation and food service activities,1034
2018,Total,Croatia,Information and communication,1703
2018,Total,Croatia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1399
2018,Total,Croatia,Financial and insurance activities,1640
2018,Total,Croatia,Real estate activities,1235
2018,Total,Croatia,Professional scientific and technical activities,1699
2018,Total,Croatia,Administrative and support service activities,920
2018,Total,Croatia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1240
2018,Total,Croatia,Public administration and defence; compulsory social security,1282
2018,Total,Croatia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1228
2018,Total,Croatia,Education,1217
2018,Total,Croatia,Human health and social work activities,1271
2018,Total,Croatia,Arts entertainment and recreation,1123
2018,Total,Croatia,Other service activities,1198
2018,Total,Italy,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2553
2018,Total,Italy,Industry construction and services (except public administration defense compulsory social security),2520
2018,Total,Italy,Business economy,2528
2018,Total,Italy,Industry and construction,2629
2018,Total,Italy,Industry (except construction),2650
2018,Total,Italy,Mining and quarrying,4054
2018,Total,Italy,Manufacturing,2637
2018,Total,Italy,Electricity gas steam and air conditioning supply,3309
2018,Total,Italy,Water supply; sewerage waste management and remediation activities,2395
2018,Total,Italy,Construction,2460
2018,Total,Italy,Services (except activities of households as employers and extra-territorial organisations and bodies),2525
2018,Total,Italy,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2472
2018,Total,Italy,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2374
2018,Total,Italy,Wholesale and retail trade; repair of motor vehicles and motorcycles,2351
2018,Total,Italy,Transportation and storage,2356
2018,Total,Italy,Accommodation and food service activities,1866
2018,Total,Italy,Information and communication,3100
2018,Total,Italy,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2602
2018,Total,Italy,Financial and insurance activities,3983
2018,Total,Italy,Real estate activities,2574
2018,Total,Italy,Professional scientific and technical activities,3107
2018,Total,Italy,Administrative and support service activities,1909
2018,Total,Italy,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2602
2018,Total,Italy,Public administration and defence; compulsory social security,2807
2018,Total,Italy,Education; human health and social work activities; arts entertainment and recreation; other service activities,2496
2018,Total,Italy,Education,2298
2018,Total,Italy,Human health and social work activities,2686
2018,Total,Italy,Arts entertainment and recreation,3906
2018,Total,Italy,Other service activities,1882
2018,Total,Cyprus,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1936
2018,Total,Cyprus,Industry construction and services (except public administration defense compulsory social security),1909
2018,Total,Cyprus,Business economy,1790
2018,Total,Cyprus,Industry and construction,1638
2018,Total,Cyprus,Industry (except construction),1585
2018,Total,Cyprus,Mining and quarrying,0
2018,Total,Cyprus,Manufacturing,1463
2018,Total,Cyprus,Electricity gas steam and air conditioning supply,0
2018,Total,Cyprus,Water supply; sewerage waste management and remediation activities,1743
2018,Total,Cyprus,Construction,1723
2018,Total,Cyprus,Services (except activities of households as employers and extra-territorial organisations and bodies),1999
2018,Total,Cyprus,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1973
2018,Total,Cyprus,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1621
2018,Total,Cyprus,Wholesale and retail trade; repair of motor vehicles and motorcycles,1473
2018,Total,Cyprus,Transportation and storage,2218
2018,Total,Cyprus,Accommodation and food service activities,1253
2018,Total,Cyprus,Information and communication,2794
2018,Total,Cyprus,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2363
2018,Total,Cyprus,Financial and insurance activities,2750
2018,Total,Cyprus,Real estate activities,1605
2018,Total,Cyprus,Professional scientific and technical activities,2363
